1,Mario Kart 7,2011-12-04 00:00:00,3,Wii
2,Minecraft,2011-11-18 00:00:00,2,PC
3,Assassin's Creed Revelations,2011-11-15 00:00:00,1,NULL
4,The Legend of Zelda: Skyward Sword Review,2011-11-20 00:00:00,3,Wii
5,Crash Bandicoot,1996-08-31 00:00:00,4,Psone
